Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
181,317.3896236,239.0010173,464.2868769,1408.414039,730.1607325,194.2309257,803.0396745,273.3835198,705.1057986,368.8840285
182,316.4429735,239.0600815,469.793279,1408.709776,728.2668024,195.4694501,808.1731161,275.9093686,707.3177189,369.404277
183,317.1782077,237.3818737,472.7820774,1418.360489,726.1303462,195.3360489,815.6059063,276.9501018,706.8574338,369.2515275
184,319.3730887,236.9184506,474.2874618,1430.423038,727.7115189,195.2895005,827.1182467,277.2558614,705.9796126,368.5769623
185,322.3452138,235.1384929,473.685336,1439.759674,730.1374745,197.1456212,833.5580448,276.2892057,703.4399185,366.7830957
186,325.6207951,235.6666667,471.4026504,1445.127421,737.5637105,198.7747197,837.9561672,278.343527,704.7543323,367.8124363
187,324.6299694,236.8256881,468.8470948,1444.374108,738.706422,198.8287462,836.9724771,279.9867482,707.1253823,368.7879715
188,324.0907238,238.4638124,469.7981651,1452.441386,733.393476,196.9469929,838.3200815,279.5993884,707.6279307,367.7033639
189,327.1345566,240.841998,473.1264016,1467.281346,725.3802243,195.9969419,840.7135576,278.9622834,707.9959225,367.4933741
190,330.9653061,241.6132653,472.5183673,1465.270408,723.6122449,197.744898,836.5836735,279.0163265,710.75,369.55
191,331.6765306,241.1306122,467.0836735,1454.764286,726.5346939,201.1408163,831.0479592,278.7612245,714.0785714,371.3367347
192,330.1091837,237.9704082,462.3836735,1448.584694,730.505102,201.2591837,827.6704082,278.4530612,713.9591837,372.1204082
193,326.5489796,236.1255102,460.6326531,1431.252041,733.4102041,199.072449,825.9306122,278.6193878,708.9397959,373.5357143
194,324.1440245,236.3687436,457.2686415,1415.407559,737.0500511,197.3993871,822.0745659,279.1174668,705.6353422,373.5240041
195,322.3469806,238.9058342,453.6335722,1408.148414,738.4605937,197.5926305,818.4749232,277.8178096,711.2006141,369.3582395
196,321.2650972,237.7359263,450.2006141,1402.836233,737.6519959,197.567042,813.5649949,276.8331627,719.8853634,364.6448311
197,322.506653,234.0552712,449.457523,1394.811668,735.8004094,196.8372569,815.2302968,278.7256909,723.2681679,362.7287615
198,324.2561475,229.9661885,451.6506148,1393.29918,733.5215164,196.8493852,823.4856557,280.5010246,721.6946721,362.5614754
199,325.2653689,229.8196721,451.2920082,1400.882172,734.2622951,196.4231557,823.3688525,280.7213115,718.4231557,364.6147541
200,325.7028689,231.4631148,449.5594262,1402.410861,736.607582,196.6915984,817.2213115,278.9846311,716.7213115,364.3401639
201,328.5061475,231.8862705,446.4241803,1400.265369,734.6905738,198.1485656,814.2530738,277.5911885,716.6977459,362.977459
202,333.6615385,232.9958974,444.6328205,1398.682051,730.8758974,198.7076923,814.1671795,280.7979487,716.9025641,365.5917949
203,335.9569231,233.8123077,445.3702564,1395.741538,727.4564103,198.28,811.6225641,284.8687179,718.2738462,368.8820513
204,337.9671795,237,445.32,1400.024615,725.0297436,197.4635897,809.3189744,285.6810256,719.1097436,369.7692308
205,338.8010256,238.3887179,451.8082051,1410.133333,721.9917949,195.7210256,810.4779487,284.1425641,717.1117949,369.2851282
206,338.92,239.04,456.5148718,1421.448205,718.9610256,195.9302564,807.974359,281.2441026,711.8153846,368.0112821
207,340.6827515,240.2402464,456.6386037,1426.485626,719.5800821,199.0492813,803.6365503,278.8049281,708.926078,365.563655
208,342.526694,240.2238193,456.7258727,1424.00616,720.0195072,200.7628337,798.926078,278.7494867,708.9743326,364.587269
209,344.9774127,236.0205339,457.3151951,1428.820329,718.5677618,200.637577,797.2556468,279.6016427,709.5646817,364.2782341
210,346.2761807,233.3593429,458.6047228,1446.520534,721.3716632,200.4014374,800.100616,277.8131417,706.7638604,365.8141684
211,349.8088386,234.4635149,456.7790339,1463.376156,730.3001028,199.2497431,802.8417266,275.5508736,704.1274409,368.1901336
212,350.3398357,237.7607803,453.1622177,1455.380903,729.4312115,198.7556468,798.8234086,275.476386,703.7156057,368.6714579
213,353.0646817,238.2125257,449.5205339,1440.217659,721.0882957,198.9558522,794.1540041,277.0831622,703.4065708,366.8983573
214,355.6437372,237.7412731,445.137577,1426.63347,723.211499,196.9661191,795.312115,279.2135524,705.8583162,366.0308008
215,357.6427105,237.0954825,441.8644764,1416.830595,731.4178645,194.2710472,797.6344969,280.5944559,708.9948665,367.0390144
216,360.1911614,238.0154162,438.8232271,1410.632066,740.0668037,195.0051387,797.3864337,281.0894142,706.340185,366.1284687
217,361.4542652,240.6700925,436.7358684,1401.270298,740.9722508,194.4820144,792.1151079,278.0143885,701.8787256,365.7399794
218,363.1819116,242.0842754,433.6043165,1401.749229,735.8191161,192.36074,788.7389517,275.5693731,701.8047276,366.7338129
219,362.3329908,243.9188078,427.4686536,1402.03186,734.63926,193.1253854,792.9845838,277.331963,702.5169579,367.9989723
220,361.0339157,245.3679342,424.5344296,1408.241521,736.8838643,195.4696814,799.5436793,279.9136691,699.7122302,367.0431655
221,364.2404933,245.0071942,428.0421377,1415.419322,734.8365879,196.1243577,799.4337102,279.0400822,701.72148,365.049332
222,369.0760534,244.7348407,430.0750257,1423.693731,729.2476876,195.7420349,792.8437821,278.3011305,706.705036,364.3206578
223,371.8395062,242.5339506,422.7890947,1420.01749,727.7942387,195.9794239,792.8333333,278.3487654,706.0277778,365.4485597
224,375.0072016,240.063786,415.7921811,1418.902263,730.1779835,195.8981481,793.9187243,279.7777778,702.5771605,364.5
225,380.3487654,237.9382716,417.5349794,1423.846708,733.2901235,195.4393004,795.8909465,281.7376543,701.5401235,362.7150206
